"STATION","NAME","DATE","ACMH","ACSH","AWND","FMTM","PGTM","PRCP","PSUN","SNOW","SNWD","TAVG","TMAX","TMIN","TSUN","WDF1","WDF2","WDF5","WDFG","WESD","WSF1","WSF2","WSF5","WSFG","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT10","WT11","WT13","WT14","WT15","WT16","WT17","WT18","WT19","WT21","WT22","WV03"
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","1990-01-24","   90","  100","6.26"," 2050"," 2051","0.00",,"0.0","0.0",,"58","49","    0","  160",,,"  180",,"10.1",,,"13.9","    1",,,,,,,,,,,,,,"    1",,,,,,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","1990-01-25","   80","   90","13.87"," 0742"," 0857","0.03",,"0.0","0.0",,"58","33","   83","  250",,,"  270",,"23.0",,,"34.4",,,,,,,,,,,,,,,"    1",,,,,,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","1990-01-26","    0","   10","8.05"," 1250"," 1104","0.00",,"0.0","0.0",,"54","24","  599","  230",,,"  225",,"14.1",,,"23.0",,,,,,,,,,,,,,,,,,,,,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","1990-01-27","   40","   30","13.42"," 1251"," 1255","0.00",,"0.0","0.0",,"62","36","  409","  220",,,"  225",,"23.9",,,"36.7",,,,,,,,,,,,,,,,,,,,,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","1990-01-28","  100","  100","6.49"," 2150"," 2130","0.12",,"0.0","0.0",,"55","38","    0","  330",,,"  360",,"12.1",,,"17.2","    1",,,,,,,,,,,,"    1",,"    1",,,,,,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","1990-01-29","   70","   90","8.28"," 0950"," 0923","0.92",,"0.0","0.0",,"43","27","   80","  310",,,"  315",,"19.9",,,"28.9","    1",,,,,,,,,,,,"    1",,"    1",,,,,,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","1990-01-30","   40","   80","6.04"," 1350"," 1232","0.00",,"0.0","0.0",,"51","26","  227","  150",,,"  135",,"10.1",,,"15.0","    1",,,,,,,,,,,,,,,,,,,,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","1990-01-31","   10","    0","3.80"," 2350"," 2357","0.00",,"0.0","0.0",,"60","28","  623","  140",,,"  135",,"10.1",,,"13.9","    1",,,,,,,,,,,,,,,,,,,,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","1990-02-01","  100","  100","11.63"," 2252"," 2242","0.00",,"0.0","0.0",,"71","42","   68","  190",,,"  180",,"21.0",,,"30.0",,,,,,,,,,,,,,,,,,,,,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","1990-02-02","   80","   90","8.95"," 0351",,"0.37",,"0.0","0.0",,"68","55","  146","  210",,,"  180",,"16.1",,,"24.2","    1",,,,,,,,,,,,,,"    1",,,,,,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","1990-02-03","  100","  100","7.16"," 1550"," 2016","2.60",,"0.0","0.0",,"63","55","    0","  160",,,"  135",,"13.0",,,"20.8","    1",,"    1",,,,,,,,,,,,"    1",,,,,,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","1990-02-04","  100","  100","10.74"," 0251"," 0252","0.04",,"0.0","0.0",,"61","37","    0","  270",,,"  270",,"31.1",,,"36.7","    1",,,,,,,,,,,,"    1",,"    1",,,,,,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","1990-02-05","   30","    0","5.14"," 0051"," 0059","0.00",,"0.0","0.0",,"56","31","  632","  350",,,"  360",,"8.9",,,"12.8",,,,,,,,,,,,,,,,,,,,,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","1990-02-06","   80","   90","8.50"," 1051"," 1158","0.00",,"0.0","0.0",,"59","34","  195","  200",,,"  180",,"17.9",,,"28.9",,,,,,,,,,,,,,,"    1",,,,,,
